"logFC","logCPM","LR","PValue","FDR","ENTREZID","SYMBOL","GENENAME"
-8.32668992551825,10.2988464895785,22.8962930507543,1.70981279340665e-06,0.000437796061006392,"107589","Mylk","myosin, light polypeptide kinase"
-8.36006473176901,5.65764720428323,22.8744978308756,1.72931096917375e-06,0.000437796061006392,"104001","Rtn1","reticulon 1"
-7.11983551023223,4.51356331363622,22.8308547393492,1.76902745875219e-06,0.000437796061006392,"27226","Pla2g7","phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
-7.32903115768943,9.81937305275078,22.8301057859773,1.76971695439594e-06,0.000437796061006392,"16667","Krt17","keratin 17"
-7.32417920247311,4.36153517207506,22.8250294748655,1.77439737924569e-06,0.000437796061006392,"64082","Popdc2","popeye domain containing 2"
-7.02467172779138,4.1302460580379,22.8138037780227,1.78479175397158e-06,0.000437796061006392,"83603","Elovl4","ELOVL fatty acid elongase 4"
-6.77457050820754,7.30130900233738,22.8107047919198,1.78767198657499e-06,0.000437796061006392,"26362","Axl","AXL receptor tyrosine kinase"
-7.84706552967235,6.99071370718573,22.7964363389838,1.80099351638523e-06,0.000437796061006392,"19699","Reln","reelin"
-7.80777730719566,6.16597547723389,22.7884833388876,1.80846188936089e-06,0.000437796061006392,"330222","Sdk1","sidekick cell adhesion molecule 1"
-6.47110953923812,7.01462012445769,22.7868100632673,1.81003715287965e-06,0.000437796061006392,"16450","Jag2","jagged 2"
-8.70969909798306,8.67088725950024,22.7790094827415,1.81739899836765e-06,0.000437796061006392,"16008","Igfbp2","insulin-like growth factor binding protein 2"
-7.59944226188448,6.15969086711268,22.6710073443221,1.92246815213199e-06,0.000437796061006392,"23964","Tenm2","teneurin transmembrane protein 2"
-7.18797681850939,5.47525923573693,22.6692043612254,1.92427293111571e-06,0.000437796061006392,"18164","Nptx1","neuronal pentraxin 1"
-7.34673287872383,4.41889639000512,22.657914869744,1.93561237026725e-06,0.000437796061006392,"15234","Hgf","hepatocyte growth factor"
-7.33911636876149,11.2072363212817,22.6388069301837,1.95495779468221e-06,0.000437796061006392,"21345","Tagln","transgelin"
-7.70127879831653,6.70594609544884,22.5977489589014,1.99718472179639e-06,0.000437796061006392,"21804","Tgfb1i1","transforming growth factor beta 1 induced transcript 1"
-7.27940944227088,7.90819877083068,22.5821306392889,2.01348687394414e-06,0.000437796061006392,"16009","Igfbp3","insulin-like growth factor binding protein 3"
-8.36823433103574,4.92163478738581,22.5453717957646,2.05238392009598e-06,0.000437796061006392,"12338","Capn6","calpain 6"
-6.88501213816768,6.0522542864295,22.5065615633914,2.09427007893053e-06,0.000437796061006392,"20564","Slit3","slit guidance ligand 3"
-6.90945618083471,5.26457707430757,22.4807948789426,2.12255151703524e-06,0.000437796061006392,"77590","Chst15","carbohydrate sulfotransferase 15"
-6.34015448456313,7.37185407120184,22.4737056118843,2.13039966507048e-06,0.000437796061006392,"14314","Fstl1","follistatin-like 1"
-6.80846702925448,4.67224769256163,22.4517105890132,2.15493492905496e-06,0.000437796061006392,"29877","Hdgfl3","HDGF like 3"
-8.32393752204892,3.15496771667577,22.4500924171623,2.1567511409276e-06,0.000437796061006392,"14048","Eya1","EYA transcriptional coactivator and phosphatase 1"
-6.7648859102976,6.15605758602615,22.4455132297996,2.16189907783058e-06,0.000437796061006392,"26360","Angptl2","angiopoietin-like 2"
-8.3382635730269,5.20303802705557,22.440825899651,2.16718135607457e-06,0.000437796061006392,"74002","Psd2","pleckstrin and Sec7 domain containing 2"
-6.83323592984884,4.61765282150282,22.3930894540725,2.22171978065732e-06,0.000437796061006392,"30785","Cttnbp2","cortactin binding protein 2"
-6.40518317517055,7.79770126248727,22.357365683532,2.26343274154367e-06,0.000437796061006392,"12822","Col18a1","collagen, type XVIII, alpha 1"
-8.47627283152358,5.04763457406504,22.3570529407348,2.26380136440737e-06,0.000437796061006392,"22420","Wnt6","wingless-type MMTV integration site family, member 6"
-6.70237579638973,5.5546260164114,22.3545058440226,2.26680581323338e-06,0.000437796061006392,"12444","Ccnd2","cyclin D2"
-8.64704890339963,3.91278879498085,22.3426901262229,2.28079554328731e-06,0.000437796061006392,"50786","Hs6st2","heparan sulfate 6-O-sulfotransferase 2"
-7.56394002314895,3.76845153812381,22.3400987085798,2.28387532698466e-06,0.000437796061006392,"394435","Ugt1a6b","UDP glucuronosyltransferase 1 family, polypeptide A6B"
-6.41993848274451,5.51362488741658,22.2710446854074,2.36749773256909e-06,0.000437796061006392,"15904","Id4","inhibitor of DNA binding 4"
-6.79917884232103,4.16641117844245,22.2584173498374,2.38311801711393e-06,0.000437796061006392,"76686","Clip3","CAP-GLY domain containing linker protein 3"
-7.78227015429323,7.64888385998234,22.2551569704343,2.38716794321576e-06,0.000437796061006392,"100689","Spon2","spondin 2, extracellular matrix protein"
-8.76907088213146,8.05403527951753,22.2411532026645,2.40464158560266e-06,0.000437796061006392,"14264","Fmod","fibromodulin"
-6.35127082362279,6.49233052259263,22.2227032328434,2.42785916687598e-06,0.000437796061006392,"58809","Rnase4","ribonuclease, RNase A family 4"
-6.87308732076088,6.68084594176701,22.1839038237571,2.47742104360007e-06,0.000437796061006392,"228911","Tshz2","teashirt zinc finger family member 2"
-8.50433992578353,5.967472995217,22.1835034089247,2.47793778488591e-06,0.000437796061006392,"208936","Adamts18","ADAM metallopeptidase with thrombospondin type 1 motif 18"
6.05582816179387,5.36080797454635,22.1294640852623,2.54867773034053e-06,0.000437796061006392,"242505","Rasef","RAS and EF hand domain containing"
-9.2624708889199,0.795143080901599,22.1163187720701,2.56618974375414e-06,0.000437796061006392,"329093","Cpa6","carboxypeptidase A6"
-9.74652060762461,1.49009805830211,22.1083718335603,2.57683504741793e-06,0.000437796061006392,"78508","Frmpd1os","FERM and PDZ domain containing 1, opposite strand"
-7.35570805281127,4.53259181168052,22.1050198947353,2.58133840335091e-06,0.000437796061006392,"66042","Sostdc1","sclerostin domain containing 1"
-6.48821355978429,7.29992563953282,22.0691258520839,2.63006014620095e-06,0.000437796061006392,"14118","Fbn1","fibrillin 1"
-7.74549293123951,4.24909241205357,22.0617944623762,2.64012451053845e-06,0.000437796061006392,"216049","Zfp365","zinc finger protein 365"
-7.77735663377039,4.83027796208705,22.0324209645879,2.68083680599179e-06,0.000437796061006392,"22409","Wnt10a","wingless-type MMTV integration site family, member 10A"
-8.31386786344399,3.54698360052662,22.0164153980331,2.70328536791511e-06,0.000437796061006392,"171171","Ntng2","netrin G2"
-6.12431988150358,4.66195952856253,22.0076671600687,2.71563479592679e-06,0.000437796061006392,"268860","Abat","4-aminobutyrate aminotransferase"
-6.43658591423651,4.32813246920084,21.9771794869781,2.75911668146423e-06,0.000437796061006392,"12326","Camk4","calcium/calmodulin-dependent protein kinase IV"
-6.18326399053542,4.59536521083318,21.9677686437122,2.77267910945908e-06,0.000437796061006392,"330812","Rnf150","ring finger protein 150"
-7.10300495956103,3.4809023418413,21.962312781497,2.78057242770252e-06,0.000437796061006392,"18669","Abcb1b","ATP-binding cassette, sub-family B member 1B"
-6.95327099565014,3.96984243291115,21.9522771545627,2.7951504844037e-06,0.000437796061006392,"20541","Slc8a1","solute carrier family 8 (sodium/calcium exchanger), member 1"
-6.51559431375316,9.93395431879265,21.9248435083748,2.8353939549479e-06,0.000437796061006392,"12827","Col4a2","collagen, type IV, alpha 2"
-6.39732353960577,4.405529970136,21.8878569233895,2.89057279549498e-06,0.000437796061006392,"207777","Tspoap1","TSPO associated protein 1"
-8.8860773258796,3.73502561466802,21.8689794370787,2.91914935205533e-06,0.000437796061006392,"26950","Vsnl1","visinin-like 1"
-6.05779627738569,8.17436570044911,21.8551108850146,2.94032389088557e-06,0.000437796061006392,"13717","Eln","elastin"
-6.14663180084058,4.54515171466106,21.832065592508,2.97585084860701e-06,0.000437796061006392,"233651","Dchs1","dachsous cadherin related 1"
-6.43396384401464,7.45346319571078,21.815992394472,3.00088417127775e-06,0.000437796061006392,"12111","Bgn","biglycan"
-7.03442485712926,4.10276825674166,21.8028170838368,3.02156166127823e-06,0.000437796061006392,"66873","Tril","TLR4 interactor with leucine-rich repeats"
-6.26464125143533,4.43417860939315,21.7971582811978,3.03048648136691e-06,0.000437796061006392,"241556","Tspan18","tetraspanin 18"
-8.50301778272514,5.04428186361656,21.7650789447217,3.08158292259129e-06,0.000437796061006392,"65256","Asb2","ankyrin repeat and SOCS box-containing 2"
-6.73926021133546,8.48345679893288,21.7543051098444,3.09893683886539e-06,0.000437796061006392,"63913","Niban1","niban apoptosis regulator 1"
-8.20645207204744,4.25757537809312,21.7512907053561,3.10380981211789e-06,0.000437796061006392,"56191","Tro","trophinin"
-7.05402178060141,3.19338986044069,21.7343453371097,3.13134649634163e-06,0.000437796061006392,"76220","6530402F18Rik","RIKEN cDNA 6530402F18 gene"
-6.83859603595873,4.98298899981398,21.7313849920493,3.136182228564e-06,0.000437796061006392,"15117","Has2","hyaluronan synthase 2"
-7.95619547657586,3.94035518953817,21.6934320993387,3.19884628365956e-06,0.000437796061006392,"329366","Ccdc187","coiled-coil domain containing 187"
-6.46362302361456,6.49481151678171,21.6924943067225,3.20041047663687e-06,0.000437796061006392,"18830","Pltp","phospholipid transfer protein"
-5.82526447598476,6.78088853454247,21.6823980128658,3.21729929445616e-06,0.000437796061006392,"11568","Aebp1","AE binding protein 1"
-8.59123396786994,4.4752959133444,21.6569001231069,3.26035067570228e-06,0.000437796061006392,"77481","C030048H21Rik","RIKEN cDNA C030048H21 gene"
-7.66284208373099,4.61245145015668,21.6562650198277,3.26143034886493e-06,0.000437796061006392,"15552","Htr1d","5-hydroxytryptamine (serotonin) receptor 1D"
-6.02016903564594,7.15724232800571,21.6407261024435,3.28795850600492e-06,0.000437796061006392,"108927","Lhfpl6","LHFPL tetraspan subfamily member 6"
-7.23584486501716,4.05346709040518,21.6277580266126,3.31026337241434e-06,0.000437796061006392,"106565","Dlk2","delta like non-canonical Notch ligand 2"
-6.216284963689,9.86135260523014,21.6275424178103,3.31063549609716e-06,0.000437796061006392,"20692","Sparc","secreted acidic cysteine rich glycoprotein"
-7.54228227178405,4.47856597091683,21.6019618169484,3.35508481847606e-06,0.000437796061006392,"100042150","Nrg2","neuregulin 2"
-5.93660942989792,5.17055740380423,21.5911020389337,3.37413557690169e-06,0.000437796061006392,"628900","Serpina3i","serine (or cysteine) peptidase inhibitor, clade A, member 3I"
-5.8510302698515,7.10717266211,21.577769496731,3.39767267362642e-06,0.000437796061006392,"546546","Serpina3h","serine (or cysteine) peptidase inhibitor, clade A, member 3H"
-5.25609981749971,5.71892826690516,21.5766371692274,3.39967924392796e-06,0.000437796061006392,"12831","Col5a1","collagen, type V, alpha 1"
-6.36820967373302,6.35199161518996,21.5691353659943,3.41300307614373e-06,0.000437796061006392,"12816","Col12a1","collagen, type XII, alpha 1"
-7.60843753478667,7.52856487299481,21.5685426635554,3.41405799611642e-06,0.000437796061006392,"14313","Fst","follistatin"
-6.51535947128517,5.62550732761876,21.5490314447755,3.4489682549756e-06,0.000437796061006392,"114679","Selenom","selenoprotein M"
-6.91262455271442,3.97988243214689,21.535014895658,3.47426810844409e-06,0.000437796061006392,"380785","Begain","brain-enriched guanylate kinase-associated"
-6.19639038539833,5.70073558670046,21.4892361708122,3.55820324713952e-06,0.000437796061006392,"20528","Slc2a4","solute carrier family 2 (facilitated glucose transporter), member 4"
-6.00213812754087,5.26648102007091,21.4667688524306,3.60013836670412e-06,0.000437796061006392,"666048","Trabd2b","TraB domain containing 2B"
-9.07192329148467,5.34858202871758,21.4570926671763,3.61835135721927e-06,0.000437796061006392,"252837","Ackr4","atypical chemokine receptor 4"
-5.72566134931482,6.11847005444239,21.4562501835858,3.61994148983136e-06,0.000437796061006392,"214968","Sema6d","sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D"
-7.15233613683574,4.96552938734271,21.4552700585021,3.62179229417125e-06,0.000437796061006392,"629378","Dact3","dishevelled-binding antagonist of beta-catenin 3"
-6.40629353177013,5.45092035520325,21.4433361899312,3.64440374545617e-06,0.000437796061006392,"193385","Ripor2","RHO family interacting cell polarization regulator 2"
-6.87830330941322,7.81808568202492,21.4264133532101,3.67671101557842e-06,0.000437796061006392,"14451","Gas1","growth arrest specific 1"
-7.7158775030943,4.48146007355081,21.415954131511,3.69682218376681e-06,0.000437796061006392,"233271","Luzp2","leucine zipper protein 2"
-7.37945948295149,3.05556573749277,21.3886590142234,3.74982715771778e-06,0.000437796061006392,"594844","Tceal3","transcription elongation factor A (SII)-like 3"
-8.40625104394213,3.00564295495192,21.3545430324687,3.81715132742558e-06,0.000437796061006392,"100042464",NA,NA
-5.59971447736083,5.22101705650751,21.3432689643002,3.83966506023143e-06,0.000437796061006392,"12162","Bmp7","bone morphogenetic protein 7"
-6.6446781803274,5.323564543749,21.3415452790336,3.84311889477092e-06,0.000437796061006392,"230098","Arhgef39","Rho guanine nucleotide exchange factor 39"
-7.30002791859771,4.05092286528018,21.3368118268418,3.85261959415947e-06,0.000437796061006392,"105653","Phyhip","phytanoyl-CoA hydroxylase interacting protein"
-9.54313903774193,3.93653711279736,21.3120239909423,3.90275847439409e-06,0.000437796061006392,"56747","Sez6l","seizure related 6 homolog like"
-6.38337580397028,3.61019072257377,21.3107976660225,3.90525591669884e-06,0.000437796061006392,"11302","Aatk","apoptosis-associated tyrosine kinase"
-6.71068320641158,5.08870360535401,21.3017793303834,3.92367131859726e-06,0.000437796061006392,"268935","Scube3","signal peptide, CUB domain, EGF-like 3"
-6.83686314973278,5.7157937460827,21.3012810454383,3.9246913508957e-06,0.000437796061006392,"23888","Gpc6","glypican 6"
-5.91039839652788,5.07676869739213,21.2929660261799,3.94175223679296e-06,0.000437796061006392,"22411","Wnt11","wingless-type MMTV integration site family, member 11"
-10.0382916928318,3.74824600598464,21.2641931581268,4.00136526384124e-06,0.000437796061006392,"72902","Spock3","sparc/osteonectin, cwcv and kazal-like domains proteoglycan 3"
-7.93887040875019,5.23051499637483,21.2458352058577,4.03987207851846e-06,0.000437796061006392,"100861621",NA,NA
5.51236787651472,4.34613609971365,21.2337218696329,4.06548388834905e-06,0.000437796061006392,"72097","Cracdl","capping protein inhibiting regulator of actin like"
-6.29594605153096,8.78951932498708,21.2223782438832,4.08961598434888e-06,0.000437796061006392,"20716","Serpina3n","serine (or cysteine) peptidase inhibitor, clade A, member 3N"
-5.96391544531294,4.66349093399199,21.2196268377286,4.09549087391468e-06,0.000437796061006392,"100604","Lrrc8c","leucine rich repeat containing 8 family, member C"
5.69276468869839,5.47562911607251,21.2175941546075,4.09983656219603e-06,0.000437796061006392,"105853","Mal2","mal, T cell differentiation protein 2"
-8.01899683376426,4.20256443032664,21.1623290947446,4.21977796838313e-06,0.000438351459937439,"214112","Nipal4","NIPA-like domain containing 4"
-8.04635580407128,3.3389879950159,21.1314287829216,4.28836912545183e-06,0.000438351459937439,"223838","Adamts20","ADAM metallopeptidase with thrombospondin type 1 motif 20"
-6.96066720343762,2.31750859856567,21.1262118267947,4.30005940044571e-06,0.000438351459937439,"13507","Dsc3","desmocollin 3"
-8.07733752146279,2.35357495205841,21.101057164409,4.35687698080282e-06,0.000438351459937439,"66773","Gm17019","predicted gene 17019"
-7.20133290204845,4.32900595640867,21.0918186415819,4.37793294711118e-06,0.000438351459937439,"231532","Arhgap24","Rho GTPase activating protein 24"
-5.32795628170963,5.7824825440908,21.0880222674272,4.38661502417324e-06,0.000438351459937439,"23959","Nt5e","5' nucleotidase, ecto"
-6.23063602701718,5.76570593770175,21.082441271244,4.39940980507569e-06,0.000438351459937439,"20356","Sema5a","sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5A"
-5.6558913692704,5.36809246564898,21.0807837437685,4.40321699823579e-06,0.000438351459937439,"319909","Ism1","isthmin 1, angiogenesis inhibitor"
5.33217489376012,5.61743065628442,21.031879120333,4.51704687784198e-06,0.000438351459937439,"27375","Tjp3","tight junction protein 3"
-6.92839453938655,3.57904739275633,21.0049219148119,4.58104998302388e-06,0.000438351459937439,"100503819","Gm12454","predicted gene 12454"
-5.60288680658955,6.01083404261347,20.997273201332,4.59937512559589e-06,0.000438351459937439,"19414","Rasa3","RAS p21 protein activator 3"
-6.78347625874832,6.85585184284159,20.9916143523458,4.61298018999659e-06,0.000438351459937439,"11754","Aoc3","amine oxidase, copper containing 3"
-5.11295634498813,4.71024127474142,20.9896064040417,4.617817422363e-06,0.000438351459937439,"16950","Loxl3","lysyl oxidase-like 3"
-6.68019126020648,3.37068327531964,20.9760011304091,4.65072747406246e-06,0.000438351459937439,"94284","Ugt1a6a","UDP glucuronosyltransferase 1 family, polypeptide A6A"
-8.73661041680521,0.328183159056023,20.9713016672142,4.66214970330092e-06,0.000438351459937439,"84111","Gpr87","G protein-coupled receptor 87"
-6.60867535182892,5.22180722586815,20.9687328626089,4.66840517961596e-06,0.000438351459937439,"226778","Mark1","MAP/microtubule affinity regulating kinase 1"
-8.37289351083048,6.67228056586811,20.958127048066,4.69432145038797e-06,0.000438351459937439,"78896","Ecrg4","ECRG4 augurin precursor"
5.56213811786318,6.31216924275047,20.9508568667007,4.71217016282012e-06,0.000438351459937439,"70737","Cgn","cingulin"
-6.50111506790311,5.15358515856501,20.9505365086917,4.71295822490941e-06,0.000438351459937439,"17260","Mef2c","myocyte enhancer factor 2C"
-7.29543930934934,3.20090063957297,20.9470310779297,4.7215900277356e-06,0.000438351459937439,"23965","Tenm3","teneurin transmembrane protein 3"
-8.62934733403548,2.96560494170058,20.9461166553557,4.72384431775082e-06,0.000438351459937439,"66793","Clxn","calaxin"
-5.97646877463986,6.42188675915146,20.9458115306382,4.72459677003918e-06,0.000438351459937439,"13003","Vcan","versican"
-9.45317470034242,1.36646183492146,20.9383709949698,4.74298276697685e-06,0.000438351459937439,"100040792","Gm11627","predicted gene 11627"
-8.7674718554733,0.412627926164188,20.9063436251926,4.82294759069983e-06,0.000439946398840314,"109052","Krt75","keratin 75"
-8.52313883536884,2.81997534914901,20.9018040823655,4.83439072141072e-06,0.000439946398840314,"381714","Gm9758","predicted gene 9758"
-6.07653712304201,2.91387299265704,20.8980980119997,4.84375306240285e-06,0.000439946398840314,"93761","Smarca1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1"
-7.77637790728017,2.50660062987259,20.876253966764,4.89930676542587e-06,0.000441052950609294,"68553","Col6a4","collagen, type VI, alpha 4"
5.58021922194579,4.63726232050102,20.8643370562709,4.92988293401211e-06,0.000441052950609294,"545551","BC021767","cingulin pseudogene"
-5.16143982296499,6.11757447977571,20.8365246117676,5.00199070020163e-06,0.000441052950609294,"13803","Enc1","ectodermal-neural cortex 1"
-6.54681117807883,5.64511173133667,20.8315293463272,5.01505333164808e-06,0.000441052950609294,"70717","Medag","mesenteric estrogen dependent adipogenesis"
-5.06768615111538,4.78506063317063,20.8302357525323,5.01844166000597e-06,0.000441052950609294,"12289","Cacna1d","calcium channel, voltage-dependent, L type, alpha 1D subunit"
-5.1468971682088,4.1318720549233,20.8205984140009,5.04375730102563e-06,0.000441052950609294,"26432","Plod2","procollagen lysine, 2-oxoglutarate 5-dioxygenase 2"
-7.9755799931844,2.56049173451489,20.8073239980075,5.07883691042501e-06,0.000441052950609294,"16764","Aff3","AF4/FMR2 family, member 3"
5.32855369359359,4.67253645652916,20.8071880328999,5.07919748233937e-06,0.000441052950609294,"224116","Muc20","mucin 20"
-7.21835708044353,3.8900119896292,20.7789321324497,5.15469077537737e-06,0.000445162475486689,"244867","Arhgap20","Rho GTPase activating protein 20"
-10.1869639191085,2.40924427766832,20.7429617208884,5.25242710079739e-06,0.000451137814679358,"270150","Ccdc153","coiled-coil domain containing 153"
-5.56792228581314,3.72861149927826,20.7232324548191,5.30682172978996e-06,0.000453346003338381,"71721","Fam13c","family with sequence similarity 13, member C"
-4.92054965297687,4.76872603427379,20.6850144636461,5.41380441738704e-06,0.00045992321122286,"19038","Ppic","peptidylprolyl isomerase C"
-6.93810006680795,3.70890564023541,20.6750621296383,5.4420172423864e-06,0.00045992321122286,"320587","Tmem88b","transmembrane protein 88B"
7.79461065890539,5.45627702201466,20.6586613195591,5.48883250231418e-06,0.000461412281205177,"21990","Tph1","tryptophan hydroxylase 1"
-8.26907680381051,2.71583812142224,20.6102609207302,5.6293588759226e-06,0.0004658952256134,"360220","Speer4d","spermatogenesis associated glutamate (E)-rich protein 4D"
-8.51683259606313,0.0768752852671483,20.604924610179,5.64507175471514e-06,0.0004658952256134,"238205","Lrfn5","leucine rich repeat and fibronectin type III domain containing 5"
-5.20834285772523,4.79670711092795,20.5830563175404,5.70992457519756e-06,0.0004658952256134,"68519","Eml1","echinoderm microtubule associated protein like 1"
-4.96575694158945,4.48459525653504,20.553269160424,5.79946641521131e-06,0.0004658952256134,"100129","Gpr153","G protein-coupled receptor 153"
-6.35879921904053,4.91807038658279,20.5468422100869,5.81897028645378e-06,0.0004658952256134,"63873","Trpv4","transient receptor potential cation channel, subfamily V, member 4"
-8.52521594448257,2.88545851040041,20.5383567887738,5.84482188084283e-06,0.0004658952256134,"624245","Speer4e1","spermatogenesis associated glutamate (E)-rich protein 4E1"
-7.46942531847349,3.18649652417839,20.5321925245749,5.86367412293244e-06,0.0004658952256134,"100861702","Gm21149","predicted gene, 21149"
